Code	Cause	Abbreviation
AA	Waiting acceptance into off Network Terminal or Yard	ACCEPTANCE
AC	Waiting train preparation or completion of TOPS list/RT3973	TRAIN PREP
AD	Off Network Terminal or Yard staff shortage including reactionary congestion caused by the shortage	WTG STAFF
AE	Congestion in off Network Terminal or Yard	CONGESTION
AG	Wagon load incident including adjusting loads or open door	LOAD INCDT
AH	Customer or off Network yard equipment breakdown/reduced capacity	YARD EQUIP
AJ	Waiting Customer’s traffic including documentation	TRAFFIC
AK	Safety incidents and mishaps (e.g. derailments, fire or chemical spill) in off Network Rail network freight yard or terminal (including private sidings, and stations – where it affects FOC services)	YARDSAFETY
AX	Failure of off network infrastructure (FOC or private)	OFFNET INF
AZ	Other Freight Operating Company. Cause to be specified, including mishaps in off Network terminals or yards	YARD OTHER
DA	Non Technical Fleet Holding Code	HOLD NT FL
DB	Train Operations Holding Code	HOLD T-OPS
DC	Train Crew Causes Holding Code	HOLD T-CRW
DD	Technical Fleet Holding Code	HOLD T FL
DE	Station Causes Holding Code	HOLD STN
DF	External Causes Holding Code	HOLD EXT
DG	Freight Terminal and or Yard Holding Code	HOLD YARD
DH	Adhesion and or Autumn Holding Code	HOLD AUTM
FA	Dangerous goods incident	DANG GOODS
FC	Freight train driver	FOC DRIVER
FE	Train crew not available	NO T/CREW
FG	Driver adhering to company professional driving standards or policy	PRO DRIVER
FH	Planning issues including loco diagrams or RT3973 restriction not requested	PLAN ISSUE
FI	Delay due to incorrect ETCS system or equipment operation by Driver	ETCS DVR
FJ	Train held at FOC request	HOLD REQST
FK	Train diverted or re-routed at FOC request	DIVERT REQ
FL	Train cancelled at FOC request or planned not to run	CANCEL REQ
FM	Tail lamp/head lamp out or incorrectly shown	LAMP ISSUE
FN	Late presentation from Europe	LATE CHUNL
FO	Time lost en-route believed to be Operator cause and information required from Operator (Ops Responsibility)	LIR UNEX
FP	Incorrect route taken or route wrongly challenged by driver, including SPAD's	FOC ROUTE
FS	Delay due to ETCS/ ERTMS on-board overriding driver command	ETCS OVRD
FT	Freight Operator autumn-attribution Neutral Zone delays	LF NEUTRAL
FW	Late start or yard overtime not explained by Train Operator	LATE START
FX	Freight train running at lower class or speed than planned classification or overweight	TRAIN SPEC
FZ	Other FOC causes incl. FOC control directive, cause to be specified, including mishaps.	FOC OTHER
I0	Telecom equipment failures legacy (inc. NRN/CSR/RETB link)	RADIO FLR
I1	Overhead line/third rail defect	OHL/3 RAIL
I2	AC/DC trip	AC/DC TRIP
I4	OHL/third rail power supply failure or reduction	SUPPLY FLR
I5	Possession over-run from planned work	OVERRUN
I6	Delays as a result of line blocks / track patrols	TRK PATROL
I7	Engineer's train late or failed in possession	ENGNRS TRN
I8	Animal Strike/Incursion within the control of Network Rail	ANIMAL
I9	Fires starting on Network Rail Infrastructure	INFRA FIRE
IA	Signal failure	SIGNAL FLR
IB	Points failure	POINTS FLR
IC	Track circuit failure	TC FAILURE
ID	Level crossing failure incl. barrow/foot crossings and crossing treadles	LEVEL XING
IE	Signalling functional power supply failure	SIG FUNC PWR
IF	Train Describer/Panel/ARS/SSI/TDM/Remote Control failure	PANEL FLR
IG	Block failure	BLOCK FLR
IH	Power supply and distribution system failure	PWR SUP DIS
II	Signalling lineside cable fault	SIG CABLE
IJ	AWS/ATP/TPWS/Train Stop/On-track equipment failure	AWS/ATP
IK	Telephone equipment failure	TELECOMS
IL	Token equipment failure	TOKEN FLR
IM	Infrastructure Balise Failure (TASS / ETCS / ERTMS)	BALISE FLR
IN	HABD/Panchex/WILD/Wheelchex	HABD FAULT
IP	Points failure caused by snow or frost where heaters are fitted but found to be not operative or defective	POINT HEAT
IQ	Trackside sign blown down, missing, defective, mis-placed	TRACK SIGN
IR	Broken/cracked/twisted/buckled/flawed rail	RAIL FLAW
IS	Track defects (other than rail defects i.e. fish plates, wet beds etc)	TRACK FLT
IT	Rough ride or bumps reported - cause not known	TRACK NFF
